,Unnamed: 0,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend,Daily Return,SMA21,SMA34,average,std,Upper band,Lower band
97,97,RELINFRA,EQ,2017-10-03,465.05,475.9,477.7,455.25,458.55,457.4,465.7,1894090,882087122.7,29962,350787,18.52,10,2017,882077713.0,-0.016449844102784716,Negative,-0.038873712964908595,492.35238095238094,491.5264705882353,482.88214285714287,19.552951844265586,521.988046545674,443.7762391686117
98,98,RELINFRA,EQ,2017-10-04,457.4,459.7,467.5,456.6,465.7,463.05,462.94,1375806,636921125.7,22406,153629,11.17,10,2017,636915629.64,0.01235242675994752,Positive,0.0072873613226017465,490.21666666666664,490.74705882352947,479.12500000000006,17.741929367808357,514.6088587356168,443.64114126438335
99,99,RELINFRA,EQ,2017-10-05,463.05,465.5,473.9,463.1,472.8,471.1,469.52,1669752,783989002.3,26738,354898,21.25,10,2017,783981959.04,0.017384731670446074,Positive,0.012030075187969974,488.1595238095238,490.0632352941177,476.52142857142866,15.820163792375082,508.1617561561788,444.8811009866785
100,100,RELINFRA,EQ,2017-10-06,471.1,473.4,478.0,467.1,471.3,471.6,473.12,1251095,591913791.4,19086,261200,20.88,10,2017,591918066.4,0.001061345786457224,Slight or No change,-0.003802281368821197,486.0809523809524,489.48088235294114,474.52142857142866,14.382704815235243,503.2868382018992,445.75601894095814
101,101,RELINFRA,EQ,2017-10-09,471.6,471.3,479.65,468.0,476.45,477.25,473.94,1851116,877322090.4,22636,416861,22.52,10,2017,877317917.04,0.01198049194232387,Positive,0.012624655208996369,484.25952380952384,489.1705882352941,472.7821428571429,12.156204606683524,497.09455207050996,448.46973364377584
102,102,RELINFRA,EQ,2017-10-10,477.25,479.95,494.0,474.35,476.9,477.75,481.47,2964499,1427321575.0,43833,467294,15.76,10,2017,1427317333.53,0.0010476689366161196,Slight or No change,-0.004583810813626396,483.0952380952381,489.4367647058823,471.50000000000006,10.368183580995478,492.236367161991,450.76363283800913
103,103,RELINFRA,EQ,2017-10-11,477.75,480.2,481.95,461.15,465.0,466.1,472.58,1567964,740988646.8,25464,258116,16.46,10,2017,740988427.12,-0.0243851386708529,Negative,-0.029362765514368942,481.07142857142856,489.4499999999999,469.4964285714287,8.121326726723392,485.7390820248755,453.2537751179819
104,104,RELINFRA,EQ,2017-10-12,466.1,468.8,471.35,459.1,465.5,465.4,465.33,1583460,736827934.6,19884,316444,19.98,10,2017,736831441.8,-0.0015018236429951148,Slight or No change,-0.00725255972696253,478.6952380952381,489.17352941176466,467.8428571428572,6.031260142050984,479.9053774269592,455.7803368587552
105,105,RELINFRA,EQ,2017-10-13,465.4,465.75,471.8,461.45,462.35,463.3,466.37,1666164,777049350.3,21204,287513,17.26,10,2017,777048904.6800001,-0.0045122475290072525,Slight or No change,-0.005260332796564657,476.20238095238096,488.68529411764695,467.2750000000001,6.059980642263585,479.39496128452726,455.1550387154729
106,106,RELINFRA,EQ,2017-10-16,463.3,465.0,468.3,458.0,460.0,459.8,462.22,1544893,714076409.4,21056,343184,22.21,10,2017,714080442.46,-0.007554500323764256,Slight negative,-0.011182795698924707,473.92857142857144,487.97941176470573,466.9857142857144,6.326848424690211,479.6394111350948,454.33201743633396
