,Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Numerator,Day_Perc_Change,Trend
272,RELINFRA,EQ,2018-06-15,435.55,436.0,439.9,423.25,433.25,431.95,431.8,1807538,780500730.2,20101,448048,24.79,6,2018,780494908.4,-0.008265411548616708,Slight negative
273,RELINFRA,EQ,2018-06-18,431.95,428.0,437.5,428.0,432.2,432.35,432.68,1129782,488832791.5,19648,122000,10.8,6,2018,488834075.76,0.0009260331056835103,Slight or No change
274,RELINFRA,EQ,2018-06-19,432.35,432.0,432.4,420.6,424.2,423.7,425.78,1379329,587286467.3,28107,71456,5.18,6,2018,587290701.62,-0.020006938822713205,Negative
275,RELINFRA,EQ,2018-06-20,423.7,425.0,444.5,423.2,439.95,441.4,436.35,2620233,1143345575.0,39148,242608,9.26,6,2018,1143338669.55,0.041774840689166926,Among top gainers
276,RELINFRA,EQ,2018-06-21,441.4,441.1,441.1,422.6,423.4,424.05,429.17,2249517,965427863.5,28289,428791,19.06,6,2018,965425210.89,-0.03930675124603522,Among top losers
277,RELINFRA,EQ,2018-06-22,424.05,424.4,428.0,415.4,425.0,425.7,421.99,2214846,934643384.4,33715,103519,4.67,6,2018,934642863.54,0.0038910505836575737,Slight or No change
278,RELINFRA,EQ,2018-06-25,425.7,424.7,427.2,418.55,419.95,420.4,421.94,1039134,438456930.0,16954,65645,6.32,6,2018,438452199.96,-0.012450082217524083,Negative
279,RELINFRA,EQ,2018-06-26,420.4,418.0,425.95,415.75,416.75,418.65,420.49,1366523,574613993.5,20689,149895,10.97,6,2018,574609256.27,-0.004162702188391987,Slight or No change
280,RELINFRA,EQ,2018-06-27,418.65,419.0,419.8,390.05,394.25,395.4,401.19,2366226,949296282.0,30492,305093,12.89,6,2018,949306208.9399999,-0.05553565030455032,Among top losers
281,RELINFRA,EQ,2018-06-28,395.4,395.0,402.0,387.1,396.4,396.75,395.76,2907403,1150636930.0,36565,195624,6.73,6,2018,1150633811.28,0.003414264036418979,Slight or No change
282,RELINFRA,EQ,2018-06-29,396.75,392.15,404.5,389.25,391.45,391.75,394.91,3555391,1404073926.0,53472,940063,26.44,6,2018,1404059459.8100002,-0.012602394454946486,Negative
283,RELINFRA,EQ,2018-07-02,391.75,393.25,395.65,374.85,382.7,384.15,384.02,2509095,963545555.9,35662,250762,9.99,7,2018,963542661.9,-0.019400127632418718,Negative
284,RELINFRA,EQ,2018-07-03,384.15,384.8,390.45,379.0,386.0,387.5,384.74,2269043,872992695.7,28513,78445,3.46,7,2018,872991603.82,0.008720551867759996,Slight positive
285,RELINFRA,EQ,2018-07-04,387.5,388.0,388.5,377.75,380.1,381.4,381.7,1975430,754016894.4,25695,108105,5.47,7,2018,754021631.0,-0.01574193548387104,Negative
286,RELINFRA,EQ,2018-07-05,381.4,382.0,388.0,378.5,382.5,382.45,383.23,1794698,687783678.9,24255,111191,6.2,7,2018,687782114.5400001,0.0027530152071315594,Slight or No change
287,RELINFRA,EQ,2018-07-06,382.45,381.9,389.95,378.35,383.85,384.85,385.64,1312656,506207732.3,17333,143091,10.9,7,2018,506212659.84,0.006275330108511001,Slight positive
288,RELINFRA,EQ,2018-07-09,384.85,387.0,409.0,386.5,406.9,404.7,398.23,2538915,1011068654.0,36749,275831,10.86,7,2018,1011072120.45,0.05157853709237359,Among top gainers
289,RELINFRA,EQ,2018-07-10,404.7,406.0,409.35,400.2,402.5,402.85,404.08,1692053,683716653.4,25671,110456,6.53,7,2018,683724776.24,-0.004571287373362876,Slight or No change
290,RELINFRA,EQ,2018-07-11,402.85,402.8,404.05,389.0,393.35,394.1,395.31,2286190,903753178.6,33177,155401,6.8,7,2018,903753768.9,-0.021720243266724615,Negative
291,RELINFRA,EQ,2018-07-12,394.1,397.7,406.45,384.0,386.5,387.25,395.92,2541342,1006160084.0,33802,196360,7.73,7,2018,1006168124.64,-0.017381375285460576,Negative
292,RELINFRA,EQ,2018-07-13,387.25,391.3,391.3,378.05,385.9,384.8,383.42,1492524,572262408.3,21147,118017,7.91,7,2018,572263552.08,-0.00632666236281465,Slight negative
